id,contest,year,severity,title,pattern_category,url,description
18,2024-07-reserve,2024,Medium,Dutch auctions fail to settle due to unexpected collateral revert,external_revert_blocks,https://github.com/code-423n4/2024-07-reserve-findings/issues/32,"One collateral revert in try-catch blocks all auction settlements"
19,2022-07-yield,2022,Medium,Liquidators can bid even if vault became overcollateralized,stale_eligibility,https://github.com/code-423n4/2022-07-yield-findings/issues/91,"Auction continues even when underlying condition no longer holds"
20,2024-04-noya,2024,Medium,Same heartbeat for multiple price feeds causes DOS or staleness,shared_oracle_config,https://github.com/code-423n4/2024-04-noya-findings/issues/917,"Single heartbeat for multiple feeds: too tight = DOS too loose = stale prices accepted"
21,2024-04-renzo,2024,Medium,Fixed heartbeat too stale for some tokens,shared_oracle_config,https://github.com/code-423n4/2024-04-renzo-findings/issues/563,"Hard-coded stale period inappropriate for tokens with different update frequencies"
22,2024-04-renzo,2024,Medium,RenzoOracle uses same heartbeat for all feeds,shared_oracle_config,https://github.com/code-423n4/2024-04-renzo-findings/issues/472,"Single time interval fails to accommodate feeds with different heartbeats"
23,2023-11-kelp,2023,Medium,Chainlink Oracle uses excessively long heartbeat and deviation,oracle_heartbeat,https://github.com/code-423n4/2023-11-kelp-findings/issues/191,"24h heartbeat + 2% deviation allows stale prices for extended periods"
24,2024-03-dittoeth,2024,Medium,oracleCircuitBreaker not checking if price is stale,missing_staleness_check,https://github.com/code-423n4/2024-03-dittoeth-findings/issues/164,"Circuit breaker fails to validate price freshness"
25,2024-04-noya,2024,Medium,Stale price used in getValueFromChainlinkFeed,missing_staleness_check,https://github.com/code-423n4/2024-04-noya-findings/issues/1501,"No staleness validation on Chainlink latestRoundData"
26,2022-04-jpegd,2022,Medium,Oracle data feed insufficiently validated,missing_oracle_validation,https://github.com/code-423n4/2022-04-jpegd-findings/issues/54,"latestRoundData not checked for completeness or staleness"
27,2021-08-notional,2021,Medium,Missing validation on latestRoundData,missing_oracle_validation,https://github.com/code-423n4/2021-08-notional-findings/issues/92,"No check for round completeness or stale data on exchange rate"
28,2024-03-revert,2024,Medium,Dangerous use of deadline parameter,missing_deadline,https://github.com/code-423n4/2024-03-revert-lend-findings/issues/147,"Failure to provide proper deadline enables pending tx malicious execution"
29,2023-07-tapioca,2023,Medium,Missing deadline checks allow malicious execution,missing_deadline,https://github.com/code-423n4/2023-07-tapioca-findings/issues/1408,"Pending transactions executed at unfavorable times without deadline protection"
30,2021-09-defiprotocol,2021,High,Auction settler steals funds if bond timestamp is high,timestamp_manipulation,https://github.com/code-423n4/2021-09-defiprotocol-findings/issues/45,"Malicious user waits until newRatio ~= 0 then bonds and steals funds via timestamp"
31,2022-01-timeswap,2022,Medium,Race condition on ERC20 approval,approval_race,https://github.com/code-423n4/2022-01-timeswap-findings/issues/168,"approve() frontrun allows spender to transfer sum of both allowances"
32,2023-01-biconomy,2023,High,Attacker bypasses isValidSignature for arbitrary txs,eip1271_bypass,https://github.com/code-423n4/2023-01-biconomy-findings/issues/433,"Crafted signature returns magic value from attacker-controlled contract"
33,2023-01-biconomy,2023,High,Contract signature can be forged by signer,eip1271_bypass,https://github.com/code-423n4/2023-01-biconomy-findings/issues/114,"isValidSignature returns magic value without proper order validation"
34,2023-04-eigenlayer,2023,Medium,depositIntoStrategy fails for counterfactual wallets,eip1271_compat,https://github.com/code-423n4/2023-04-eigenlayer-findings/issues/8,"isValidSignature fails for not-yet-deployed smart contract wallets"
35,2022-05-seaport,2022,Medium,isValidSignature not compatible with Gnosis Safe,eip1271_compat,https://github.com/code-423n4/2022-05-opensea-seaport-findings/issues/176,"Signature validation incompatible with certain smart wallet implementations"
36,2023-07-tapioca,2023,High,Reentrancy in USDO flashLoan enables unlimited borrowing,flashloan_reentrancy,https://github.com/code-423n4/2023-07-tapioca-findings/issues/1043,"Missing reentrancy guard on flashLoan allows re-entry via onFlashLoan callback"
37,2024-01-renft,2024,High,Attacker hijacks rented NFT via reentrancy in callback,callback_reentrancy,https://github.com/code-423n4/2024-01-renft-findings/issues/588,"safeTransferFrom triggers onERC1155Received allowing reentrancy exploitation"
38,2023-01-popcorn,2023,High,ERC777 callback in claimRewards drains reward balance,erc777_reentrancy,https://github.com/code-423n4/2023-01-popcorn-findings/issues/392,"ERC777 receive hook re-enters claimRewards to drain all rewards"
39,2024-03-revert,2024,Medium,onERC721Received callback manipulates collateral shares,callback_reentrancy,https://github.com/code-423n4/2024-03-revert-lend-findings/issues/323,"Malicious owner uses NFT receive callback to call borrow and corrupt accounting"
40,2022-08-mimo,2022,High,Multicall called after malicious delegatecall,multicall_abuse,https://github.com/code-423n4/2022-08-mimo-findings/issues/166,"Delegatecall changes owner; subsequent multicall executes with new authority"
41,2024-12-chainlink-v1,2024,Medium,performUpkeep stale inputs from checkUpkeep,keeper_stale_data,https://github.com/code-423n4/2024-12-chainlink,"V1 acknowledges delay between checkUpkeep and performUpkeep; mitigates via maxDeviation"
42,2023-11-kelp,2023,High,First staker manipulates rsETH price via donation,donation_attack,https://github.com/code-423n4/2023-11-kelp-findings/issues/42,"First depositor donates tokens to inflate exchange rate; subsequent depositors get nothing"
43,2023-11-kelp,2023,High,Inflation attack leads to loss of funds,donation_attack,https://github.com/code-423n4/2023-11-kelp-findings/issues/733,"Frontrun deposit with minimal amount then donate to inflate totalAssets"
44,2024-06-thorchain,2024,High,Malicious user steals money via vault balance manipulation,balance_manipulation,https://github.com/code-423n4/2024-06-thorchain-findings/issues/85,"Direct token transfer to vault exploits balance-based accounting"
45,2022-12-gogopool,2022,High,Share price manipulation via deposit plus donation,donation_attack,https://github.com/code-423n4/2022-12-gogopool-findings/issues/872,"Deposit 1 wei then transfer fake rewards to inflate totalAssets to 1:1e18"
