source,contest,severity,title,description_excerpt,keyword_matched
code4rena,Escher (2022-12),High,"The `buy()` function on Last Price Dutch Auction Sale doesn't check if auction ended, may lead to user loss asset","# Lines of code  https://github.com/code-423n4/2022-12-escher/blob/main/src/minters/LPDA.sol#L58-L89   # Vulnerability details  ## Impact The `buy()` function on Last Price Dutch Auction Sale doesn't check if auction is ended, may lead to user loss asset if user call with `amount` 0 with msg.value > 0  ## Proof of Concept Ideally if the max id (`finalId`) is reached, then the auction will end, so no user can call `buy()`. If we see the `FixedPrice` and `OpenEdition` there is a `selfdestruct` whe",dutch+auction
code4rena,Escher (2022-12),High,LPDA sale `getPrice()` will be broken after time because of overflow calculation,"# Lines of code  https://github.com/code-423n4/2022-12-escher/blob/5d8be6aa0e8634fdb2f328b99076b0d05fefab73/src/minters/LPDA.sol#L117   # Vulnerability details  ## Impact LPDA sale is stand for “Last Price Dutch Auction”, which means price will drop every second from `startPrice`. After all NFTs are saled, it will recorded the `finalPrice` at the time the sale finished with the formula `startPrice - dropPerSecond * timeElapsed`  However, from function `createLPDASale()` in Factory to function `i",dutch+auction
code4rena,Escher (2022-12),High,Funds reserved for refunding users can be steal in LPDA sale,"# Lines of code  https://github.com/code-423n4/2022-12-escher/blob/5d8be6aa0e8634fdb2f328b99076b0d05fefab73/src/minters/LPDA.sol#L81-L88   # Vulnerability details  ## Impact  LPDA sale works like a Dutch Auction, where early buyers will get refund after the sale ended.   In addition, in `buy()` function, when last NFT is saled, it is automatically ending the LPDA sale and send payments to sale receiver, fee to fee receiver. And there are some funds left in the contract for early buyers calling `",dutch+auction
code4rena,Escher (2022-12),High,`saleReceiver` and `feeReceiver` can steal refunds after sale has ended,"# Lines of code  https://github.com/code-423n4/2022-12-escher/blob/main/src/minters/LPDA.sol#L67-L68 https://github.com/code-423n4/2022-12-escher/blob/main/src/minters/LPDA.sol#L81-L88   # Vulnerability details  First, lets go over how a buy happens.  A buyer can buy NFTs at a higher price and then once the auction ends they can use `refund()` to return the over payments. The effect is that they bought the NFTs at the lowest price (Lowest Price Dutch Auction).  Now, let's move on to what happens",dutch+auction
code4rena,Escher (2022-12),High,Buyers may not be able to get a full refund due to malicious/wrong Sale arguments when creating the LPDA contract,"# Lines of code  https://github.com/code-423n4/2022-12-escher/blob/5d8be6aa0e8634fdb2f328b99076b0d05fefab73/src/minters/LPDAFactory.sol#L29-L42   # Vulnerability details  ## Impact When a new `LPDA` contract is created via the `LPDAFactory.sol`, the arguments given to the [`createLPDASale`](https://github.com/code-423n4/2022-12-escher/blob/5d8be6aa0e8634fdb2f328b99076b0d05fefab73/src/minters/LPDAFactory.sol#L29) function are not validated correctly. This means, that a `Last Price Dutch Auction` ",dutch+auction
code4rena,Pooltogether (2023-07),High,Users are capable to make the Vault contract to execute External calls to Arbtirary Addresses by enabling hooks,# Lines of code  https://github.com/GenerationSoftware/pt-v5-vault/blob/b1deb5d494c25f885c34c83f014c8a855c5e2749/src/Vault.sol#L1068-L1074 https://github.com/GenerationSoftware/pt-v5-vault/blob/b1deb5d494c25f885c34c83f014c8a855c5e2749/src/Vault.sol#L1053 https://github.com/GenerationSoftware/pt-v5-vault/blob/b1deb5d494c25f885c34c83f014c8a855c5e2749/src/Vault.sol#L1068-L1074   # Vulnerability details  ## Impact - Allowing the contracts to perform calls to arbitrary addresses has been a vector of ,cowswap/gpv2
code4rena,Badger (2022-06),Medium,`_harvest` has no slippage protection when swapping `auraBAL` for `AURA`  ,"# Lines of code  https://github.com/Badger-Finance/vested-aura/blob/d504684e4f9b56660a9e6c6dfb839dcebac3c174/contracts/MyStrategy.sol#L249 https://github.com/Badger-Finance/vested-aura/blob/d504684e4f9b56660a9e6c6dfb839dcebac3c174/contracts/MyStrategy.sol#L275   # Vulnerability details  ## Impact Single swaps of `_harvest` contains no slippage or deadline, which makes it vulnerable to sandwich attacks, MEV exploits and may lead to significant loss of yield.  ## Proof of Concept When using `BALAN",cowswap/gpv2
code4rena,Yieldy (2022-06),Medium,Staking `preSign` could use some basic validations,"# Lines of code  https://github.com/code-423n4/2022-06-yieldy/blob/524f3b83522125fb7d4677fa7a7e5ba5a2c0fe67/src/contracts/Staking.sol#L769   # Vulnerability details  The function `preSign` acceps any `orderUid` `function preSign(bytes calldata orderUid) external onlyOwner`  Because of how Cowswap works, accepting any `orderUid` can be used as a rug-vector.  This is because the orderData contains a `receiver` which in lack of validation could be any address.  You'd also be signing other parameter",cowswap/gpv2
sherlock,Hats,High,HatsSignerGateBase: valid signer threshold can be bypassed because HSG checks signatures differently from Safe which allows exploitation,## Summary This report deals with how the `HatsSignerGate` and the `Safe` check signatures differently which opens the door to exploitation.  I will show how this allows a valid signer that has become invalid but not yet removed from the `owners` of the Safe to continue signing transactions. The invalid signer can effectively sign transactions as though he was valid.  Also there is the possibility of valid signers calling `Safe.addOwnerWithThreshold`. When an owner is added to the Safe but not a,EIP-1271/isValidSignature
code4rena,Biconomy (2023-01),High,Lack of owner verification in EIP-1271 signature check,"# Lines of code  https://github.com/code-423n4/2023-01-biconomy/blob/53c8c3823175aeb26dee5529eeefa81240a406ba/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L218 https://github.com/code-423n4/2023-01-biconomy/blob/53c8c3823175aeb26dee5529eeefa81240a406ba/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L342   # Vulnerability details  ## Description  In the `checkSignatures` there are checks that the signer is the account owner, but in the case of EIP-1271 signature ",EIP-1271/isValidSignature
code4rena,Biconomy (2023-01),High,Attacker can take control over each SmartAccount proxy and steal all users' funds,# Lines of code  https://github.com/code-423n4/2023-01-biconomy/blob/main/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L342   # Vulnerability details  # Attacker can take control over each SmartAccount proxy and steal all users' funds  ## Impact All users' funds can be stolen by a single attacker (tx gas cost only)  ## Proof of Concept There are 2 main reasons for this vulnerability:  The `.checkSignatures` in [SmartAccount.sol](https://github.com/code-423n4/2023-01-biconomy/bl,EIP-1271/isValidSignature
code4rena,Biconomy (2023-01),High,SmartAccount implementation contract can be destroyed by anyone,# Lines of code  https://github.com/code-423n4/2023-01-biconomy/blob/main/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L192 https://github.com/code-423n4/2023-01-biconomy/blob/main/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L302-L353 https://github.com/code-423n4/2023-01-biconomy/blob/main/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L342   # Vulnerability details  # SmartAccount implementation contract can be destroyed by anyone  ## Impact,EIP-1271/isValidSignature
code4rena,Biconomy (2023-01),High,"when the 'v' value from a signature is 0, checkSignatures function can be tricked","# Lines of code  https://github.com/code-423n4/2023-01-biconomy/blob/53c8c3823175aeb26dee5529eeefa81240a406ba/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L314-L343   # Vulnerability details  ## Impact when the v value of a signature is = 0, the 'checkSignatures' in entryPoint function doesn't check if the signer is the owner of the wallet and assumes that it is from a contract, a malicious party could craft a signature with the v value = 0, and implement the 'ISignatureValidat",EIP-1271/isValidSignature
code4rena,Biconomy (2023-01),High,SmartAccount authorization can be bypassed using a contract signature,"# Lines of code  https://github.com/code-423n4/2023-01-biconomy/blob/main/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L314-L343   # Vulnerability details  # SmartAccount authorization can be bypassed using a contract signature  The `SmartAccount` wallet supports contract signatures defined by EIP1271, similar to how Gnosis Safe does. Transactions to the wallet can be authorized by a contract that implements the `ISignatureValidator` interface. This feature is implemented in th",EIP-1271/isValidSignature
code4rena,Biconomy (2023-01),High,Attacker can bypass signature validation and send arbitrary transactions to be executed by smart wallet.,# Lines of code  https://github.com/code-423n4/2023-01-biconomy/blob/53c8c3823175aeb26dee5529eeefa81240a406ba/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L314-L343   # Vulnerability details  ## Impact On `SmartAccount.sol` logic to handle contract signatures there is no validation of which contracts are allowed to sign the transaction. Therefore an attacker can deploy a contract that validades all signatures sent to it and then craft a signature that points to this contract an,EIP-1271/isValidSignature
code4rena,Biconomy (2023-01),High,EIP-1271 contract signing lets anyone execute any tx from the wallet,# Lines of code  https://github.com/code-423n4/2023-01-biconomy/blob/main/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L314-L343   # Vulnerability details  ## Description The `checkSignatures` in `SmartAccount` is copied from [Gnosis](https://github.com/safe-global/safe-contracts/blob/main/contracts/GnosisSafe.sol#L240-L304). Gnosis wallets can have multiple owners some being contracts. To handle this Gnosis implements [EIP-1271](https://eips.ethereum.org/EIPS/eip-1271) to hand,EIP-1271/isValidSignature
code4rena,Biconomy (2023-01),High,An attacker can execute any transaction by passed own contract signature validator,# Lines of code  https://github.com/code-423n4/2023-01-biconomy/blob/53c8c3823175aeb26dee5529eeefa81240a406ba/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L196 https://github.com/code-423n4/2023-01-biconomy/blob/53c8c3823175aeb26dee5529eeefa81240a406ba/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L218 https://github.com/code-423n4/2023-01-biconomy/blob/53c8c3823175aeb26dee5529eeefa81240a406ba/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L342 ,EIP-1271/isValidSignature
code4rena,Biconomy (2023-01),High,Bypass Authentication ,# Lines of code  https://github.com/code-423n4/2023-01-biconomy/blob/main/scw-contracts/contracts/smart-contract-wallet/SmartAccount.sol#L342   # Vulnerability details  ## Impact  By using a smart contract to return the expected magic value an operator can bypass authentication checks in `SmartAccount`. Bypassing the authentication would allow an operator to call other contracts using someone else's `SmartAccount`.   An operator can craft a signature such that it points to an address he controls,EIP-1271/isValidSignature
sherlock,GFX Labs,High,Lack of segregation between users' assets and collected fees resulting in loss of funds for the users,"## Summary  The users' assets are wrongly sent to the owner due to a lack of segregation between users' assets and collected fees, which might result in an irreversible loss of assets for the victims.  ## Vulnerability Detail  GLX uses the Chainlink Automation to execute the `LimitOrderRegistry.performUpkeep` function when there are orders that need to be fulfilled. The `LimitOrderRegistry` contract must be funded with LINK tokens to keep the operation running.  To ensure the LINK tokens are con",keeper/upkeep/automation
sherlock,GFX Labs,High,Users' funds could be stolen or locked by malicious or rouge owners,"## Summary  Users' funds could be stolen or locked by malicious or rouge owners.  ## Vulnerability Detail  In the contest's README, the following was mentioned.  > ### Q: Is the admin/owner of the protocol/contracts TRUSTED or RESTRICTED? > > restricted. the owner should not be able to steal funds.  It was understood that the owner is not ""trusted"" and should not be able to steal funds. Thus, it is fair to assume that the sponsor is keen to know if there are vulnerabilities that could allow the ",keeper/upkeep/automation
sherlock,Oku's New Order Types Contract Contest,High,Lack of nonReentrant modifier in fillOrder() and modifyOrder() allows attacker to steal funds,## Description **_Root Causes:_** 1. [OracleLess.sol::fillOrder()](https://github.com/gfx-labs/oku-custom-order-types/blob/b84e5725f4d1e0a1ee9048baf44e68d2e53ec971/contracts/automatedTrigger/OracleLess.sol#L103) can be called by anyone with a malicious `txData`.  2. [OracleLess.sol::fillOrder()](https://github.com/gfx-labs/oku-custom-order-types/blob/b84e5725f4d1e0a1ee9048baf44e68d2e53ec971/contracts/automatedTrigger/OracleLess.sol#L103) lacks a `nonReentrant` modifier.  3. [OracleLess.sol::modi,keeper/upkeep/automation
sherlock,Oku's New Order Types Contract Contest,High,attacker can drain StopLimit contract funds through Bracket contract because it gives type(uint256).max  allowance to bracket contract for input token in performUpkeep function,## Discussion  **sherlock-admin2**  The protocol team fixed this issue in the following PRs/commits: https://github.com/gfx-labs/oku-custom-order-types/pull/1,keeper/upkeep/automation
code4rena,Maia (2023-05),High,"getRebalance at TalosManager would suffer underflows when currentTick becomes smaller than the tickLower() of the position, leading to failure to performUpkeep","# Lines of code  https://github.com/code-423n4/2023-05-maia/blob/main/src/talos/TalosManager.sol#L70   # Vulnerability details  ## Impact getRebalance at TalosManager would suffer underflows when currentTick becomes smaller than the tickLower() of the position, leading to failure to performUpkeep.   getRebalance is done by comparing the currentTick with the position's range, if the lower or upper tick is more different from the current tick beyond a certain rebalance threshold, it would return `",keeper/upkeep/automation
code4rena,Maia (2023-05),High,Talos: Calling rebalance and rerange will prevent the owner from collecting their fees and will cause a temporary Dos of the strategy,# Lines of code  https://github.com/code-423n4/2023-05-maia/blob/54a45beb1428d85999da3f721f923cbf36ee3d35/src/talos/base/TalosBaseStrategy.sol#L394 https://github.com/code-423n4/2023-05-maia/blob/54a45beb1428d85999da3f721f923cbf36ee3d35/src/talos/libraries/PoolActions.sol#L56   # Vulnerability details  ## Impact A part of the fees accumulated by the underlying uniswap v3 position is allocated to the owner of the Talos' strategy. Those tokens are kept in the balance of the strategy and can be wit,keeper/upkeep/automation
code4rena,Salty (2024-01),High,"Malicious user can atomically take up to 1% of rewards for all newly whitelisted pools, by using DUST LP","# Lines of code  https://github.com/code-423n4/2024-01-salty/blob/main/src/dao/DAO.sol#L235-L273 https://github.com/code-423n4/2024-01-salty/blob/main/src/Upkeep.sol#L205-L213 https://github.com/code-423n4/2024-01-salty/blob/main/src/staking/StakingRewards.sol#L182-L206   # Vulnerability details  ## Impact  When pools are first whitelisted, a malicious user can atomically take up to 1% of the SALT emissions rewards for those pools in a single tx using DUST amount of LP. Since bootstrapping rewar",keeper/upkeep/automation
code4rena,Salty (2024-01),High,The first staker can get all of the staking rewards ,"# Lines of code  https://github.com/code-423n4/2024-01-salty/blob/53516c2cdfdfacb662cdea6417c52f23c94d5b5b/src/rewards/RewardsEmitter.sol#L82-L137   # Vulnerability details  ## Impact There are rewards distributed among all users that staked. It is assumed that the rewards would be sent when all of the users staked and will be distributed to each of the users depending on the amount they stake. After that, the users can get their reward with `claimAllRewards` or `unstake`.   A problem arises bec",keeper/upkeep/automation
code4rena,Salty (2024-01),High,malicious user can exploit the staking reward system,# Lines of code  https://github.com/code-423n4/2024-01-salty/blob/53516c2cdfdfacb662cdea6417c52f23c94d5b5b/src/staking/StakingRewards.sol#L78-L86   # Vulnerability details  ## Impact malicious user increase share right before adding staking salts and decrease share after that and take the rewards .It will be unfair for long term staker .  ## Proof of Concept  Malicious User deposit wbtc/weth liquidity as collateral to increase share          function depositCollateralAndIncreaseShare( uint256 ma,keeper/upkeep/automation
code4rena,Salty (2024-01),High,Incorrect logic for USDS repayments can result in improper liquidation of protocol owned liquidity,"# Lines of code  https://github.com/code-423n4/2024-01-salty/blob/main/src/stable/Liquidizer.sol#L101-L126 https://github.com/code-423n4/2024-01-salty/blob/main/src/stable/CollateralAndLiquidity.sol#L115-L135   # Vulnerability details  ## Impact  When users repay their borrowed USDS, those tokens are sent to the USDS token address rather than the Liquidizer contract. However, the Liquidizer contract expects this USDS to be part of its balance, and since its not, it has logic to withdraw POL in o",keeper/upkeep/automation
sherlock,Nouns Builder,High,Adversary can permanently brick auctions due to precision error in Auction#_computeTotalRewards,"## Summary  When batch depositing to ProtocolRewards, the msg.value is expected to match the sum of the amounts array EXACTLY. The issue is that due to precision loss in Auction#_computeTotalRewards this call can be engineered to always revert which completely bricks the auction process.  ## Vulnerability Detail  [ProtocolRewards.sol#L55-L65](https://github.com/ourzora/zora-protocol/blob/8d1fe9bdd79a552a8f74b4712451185f6aebf9a0/packages/protocol-rewards/src/ProtocolRewards.sol#L55-L65)          ",settlement+solver/batch
code4rena,Astaria (2023-01),High,`LienToken`: Lender and liquidator can collude to block auction and seize collateral,"# Lines of code  https://github.com/code-423n4/2023-01-astaria/blob/1bfc58b42109b839528ab1c21dc9803d663df898/src/LienToken.sol#L849 https://github.com/code-423n4/2023-01-astaria/blob/1bfc58b42109b839528ab1c21dc9803d663df898/src/LienToken.sol#L642-L643   # Vulnerability details  If a lender offers a loan denominated in an ERC20 token that blocks transfers to certain addresses (for example, the USDT and USDC blocklist), they may collude with a liquidator (or act as the liquidator themselves) to pr",settlement+solver/batch
code4rena,Renft (2024-01),High,PaymentEscrow does not settle the payment batch for the first order in array RentalOrder[],"# Lines of code  https://github.com/re-nft/smart-contracts/blob/3ddd32455a849c3c6dc3c3aad7a33a6c9b44c291/src/modules/PaymentEscrow.sol#L341   # Vulnerability details  ## Impact  The PaymentEscrow.sol contract fails to settle payments for the first order in a list of orders, potentially leading to incorrect/incomplete payment settlements. This issue may impact the accuracy of payment processing. The reason behind this logic flaw is the for-loop, which increments ```i``` as shown ```++i``` in the ",settlement+solver/batch
code4rena,Renft Mitigation (2024-02),High,"An attacker can hijack rentals indefinitely because no validation exists on the consideration item array size, allowing for DoS exploitation via the tipping feature","# Lines of code  https://github.com/re-nft/smart-contracts/blob/97e5753e5398da65d3d26735e9d6439c757720f5/src/policies/Create.sol#L334   # Vulnerability details  # Pre-requisite knowledge & an overview of the features in question  1. **Seaport Tipping feature**: Seaport allows for ""tipping"" in the form of ERC20 tokens as part of the order fulfillment process. You, as a fulfiller, can tip ERC20 tokens to an order by extending the `consideration` array in the order with the additional ERC20 tokens ",settlement+solver/batch
code4rena,Reserve (2024-07),High,GnosisTrade's MAX_ORDERS limit can be circumvented to DoS RToken recollateralization,# Lines of code  https://github.com/code-423n4/2024-07-reserve/blob/3f133997e186465f4904553b0f8e86ecb7bbacbf/contracts/plugins/trading/GnosisTrade.sol#L125   # Vulnerability details  The GnosisTrade contract leverages the Gnosis EasyAuction contract for batch sales.  This contract has a limitation in the fact that its settlement function has a potentially unbounded loop that can cause auctions with large numbers of orders to not be settled:  ```Solidity File: EasyAuction.sol 450:     // @dev fun,settlement+solver/batch
code4rena,Wildcat (2024-08),High,debit owned by borrower  not cleared after full repayment of loan ,"# Lines of code  https://github.com/code-423n4/2024-08-wildcat/blob/fe746cc0fbedc4447a981a50e6ba4c95f98b9fe1/src/market/WildcatMarket.sol#L226   # Vulnerability details  Current implementation lacks the mechanism to clear borrowers debt either by full repayment of debt owned or  closing of market .  This is problematic because if the same market approves a new depositor , internal calculations that rely of the debt amount will be affected since the market will still have pending debt.  ## Proof ",settlement+solver/batch
sherlock,Notional,Medium,`CrossCurrencyfCashVault` Cannot Settle Its Assets In Pieces,"## Summary  The `CrossCurrencyfCashVault` vault cannot settle its assets in pieces. Thus, it might cause the vault to incur unnecessary slippage.  ## Vulnerability Detail  The settle vault function is designed in a manner where its assets can be settled in pieces. Therefore, the `settleVault` function accepts a `strategyTokens` or `strategyTokensToRedeem` parameter to allow the caller to specify the number of strategy tokens to be settled.  The reason as mentioned in Notional's walkthrough video",settlement+solver/batch
sherlock,Notional,Medium,Existing Slippage Control Can Be Bypassed During Vault Settlement,"## Summary  The existing slippage control can be bypassed/disabled during vault settlement, thus allowing the trade to be executed without consideration of its slippage.  ## Vulnerability Detail  > Note 1: This issue affects MetaStable2 and Boosted3 balancer leverage vaults > > Note 2: This issue affects the following three (3) processes. However, the root cause and the remediation action are the same for all. Therefore, only the PoC for the ""Emergency vault settlement"" process will be documente",settlement+solver/batch
sherlock,Perennial V2 Update #2,High,Empty orders do not request from oracle and during settlement they use an invalid oracle version with `price=0` which messes up a lot of fees and funding accounting leading to loss of funds for the makers,"## Summary  When `market.update` which doesn't change user's position is called, a new (current) global order is created, but the oracle version is not requested due to empty order. This means that during the order settlement, it will use non-existant invalid oracle version with `price = 0`. This price is then used to accumulate all the data in this invalid `Version`, meaning accounting is done using `price = 0`, which is totally incorrect. For instance, all funding and fees calculations multipl",settlement+order
code4rena,Renft (2024-01),Medium,Malicious lender can DoS a rental settlement in case they use a consideration order with ER20 considerations tokens that have a blocklist,"# Lines of code  https://github.com/re-nft/smart-contracts/blob/3ddd32455a849c3c6dc3c3aad7a33a6c9b44c291/src/modules/PaymentEscrow.sol#L175   # Vulnerability details  ## Impact Malicious lender can DoS a rental settlement in case they use a consideration order with ER20 considerations tokens that have a blocklist  ## Proof of Concept Some tokens (e.g. USDC, USDT) have a contract level admin controlled address blocklist. If an address is blocked, then transfers to and from that address are forbid",settlement+order
sherlock,Astaria,High,Canceling an auction does not refund the current highest bidder,"## Summary  If the collateral token owner cancels the active auction and repays outstanding debt, the current highest bidder will not be refunded and loses their funds.  ## Vulnerability Detail  The `AuctionHouse.createBid()` function refunds the previous bidder if there is one. The same logic would also be necessary in the `AuctionHouse.cancelAuction()` function but is missing.  ## Impact If the collateral token owner cancels the active auction and repays outstanding debt (`reservePrice`), the ",bid+callback/auction/flash
sherlock,Astaria,High,Canceling an auction with 0 bids will only partially pay back the outstanding debt,"## Summary  Canceling an auction with 0 bids only partially pays back the outstanding debt without removing outstanding liens resulting in the collateralized NFT being locked forever.  ## Vulnerability Detail  Given this scenario of an auction with 0 bids and, for example, a `reservePrice` of 10 ETH and `initiatorFee` set to 10 (= 10%), with the following sequence executed:  1. The auction gets canceled 2. In `AuctionHouse.cancelAuction()`, `_handleIncomingPayment()` accepts incoming transfer of",bid+callback/auction/flash
sherlock,Astaria,High,Auction bid that partially pays back an expired lien will revert,"## Summary  Auction bids will revert for a bid amount that does not fully pay back an expired lien.  ## Vulnerability Detail  The value of `lien.last` is updated to `block.timestamp` in several parts of the code, even for expired liens. Payments made as part of liquidations will set `lien.last` to `block.timestamp` > `lien.start + lien.duration` causing a revert in the flow shown below at step 3 when it is subtracted from `end`:  1. `IPublicVault(lienOwner).afterPayment(lienId);` 2. `slope += LI",bid+callback/auction/flash
sherlock,Astaria,High,Bidder can cheat auction by placing bid much higher than reserve price when there are still open liens against a token,## Summary  When a token still has open liens against it only the value of the liens will be paid by the bidder but their current bid will be set to the full value of the bid. This can be abused in one of two ways. The bidder could place a massive bid like 500 ETH that will never be outbid or they could place a bid they know will outbid and profit the difference when they're sent a refund.  ## Vulnerability Detail      uint256[] memory liens = LIEN_TOKEN.getLiens(tokenId);     uint256 totalLienA,bid+callback/auction/flash
sherlock,Axis Finance,High,Auction creators have the ability to lock bidders' funds.,"## Summary `Auction creators` have the ability to cancel an `auction` before it starts. However, once the `auction` begins, they should not be allowed to cancel it. During the `auction`, `bidders` can place `bids` and send `quote` tokens to the `auction house`. After the `auction` concludes, `bidders` can either receive `base` tokens or retrieve their `quote` tokens. Unfortunately, `batch auction creators` can cancel an `auction` when it ends. This means that `auction creators` can cancel their ",bid+callback/auction/flash
