source,severity,property_id,code_path,title,description_excerpt,keyword_matched
grandine_fusaka,potential-vulnerability,PROP-57888860-pre-003,operation_pools/src/blob_reconstruction_pool/tasks.rs::ReconstructDataColumnSidecarsTask::run::L42-64,"Column-level 50% threshold check (≥64/128 columns) does not guarantee per-blob 50% threshold. When columns contain different subsets of blobs, individual blobs may have <50% cells available even when total column count is sufficient, causing KZG reco","Attacker provides 64 columns where 40 columns contain blob A cells but only 32 contain blob B cells. Blob A recovers successfully, but blob B has only 25% cells (32/128), violating erasure coding threshold and potentially producing invalid recovered data.",KZG/blob+commitment
grandine_fusaka,vulnerability,PROP-56ad1eb2-inv-005,helper_functions/src/misc.rs::compute_fork_digest_post_fulu::L148,"Line 148 uses blob_entry.epoch (the schedule entry's activation epoch) instead of the current epoch parameter when computing the blob params hash. This makes fork digest constant across all epochs within the same blob schedule period, violating the e","Attacker deploys nodes with blob schedule configured at different activation epochs (e.g., epoch 100 vs 200) but same max_blobs value. At epoch 300, both node sets are in identical state but compute different fork digests (hash(100||15) vs hash(200||15)). This causes P2P topic subscription mismatch and network partition between otherwise-compatible nodes.",signature+replay/validation; consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation; cache/index+collision
grandine_fusaka,potential-vulnerability,PROP-57888860-inv-025,eip_7594/src/lib.rs::get_validator_custody_requirement::L409-411,"The clamping logic count.max(validator_custody_requirement).min(number_of_custody_groups) only enforces the invariant when validator_custody_requirement <= number_of_custody_groups, but Config has no validation of this constraint (types/src/config.rs","A malicious testnet operator sets validator_custody_requirement=200 and number_of_custody_groups=100 in the network config. Validators with moderate stake (count between 100-200) will be assigned custody requirement of 100 instead of the mandated 200, causing them to subscribe to fewer custody groups than required, potentially breaking PeerDAS data availability guarantees.",signature+replay/validation; KZG/blob+commitment; P2P/gossip+validation
grandine_fusaka,vulnerability,PROP-6a4369e9-pre-003,fork_choice_store/src/store.rs::validate_data_column_sidecar_with_state::L2195-2199,"KZG proof verification returns Result<bool>, but line 2195-2199 uses .map_err()? which only handles errors, discarding the boolean result. When verify_kzg_proofs returns Ok(false) (invalid proofs), execution continues and the sidecar is accepted at l","Attacker sends P2P data column sidecar with invalid KZG proofs. The gossip validation at validate_data_column_sidecar_with_state calls verify_kzg_proofs which returns Ok(false), but this boolean is discarded by .map_err()?. The sidecar passes all checks and is accepted, allowing propagation of invalid erasure-coded data across the network.",consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation
grandine_fusaka,vulnerability,PROP-6a4369e9-pre-008,p2p/src/network.rs::handle_data_columns_by_range_request::L1395-1410,"The handler rejects out-of-range requests with RpcErrorResponse::InvalidRequest (error code 1) at L1402-1408, but the Ethereum consensus spec mandates RESOURCE_UNAVAILABLE (error code 3) for requests outside the data_column_serve_range. InvalidReques","A peer requesting data columns outside the serve range receives InvalidRequest instead of ResourceUnavailable, violating spec compliance and potentially causing interoperability issues where spec-compliant peers may ban or deprioritize this node for incorrect error responses.",consensus+fork/split; P2P/gossip+validation
grandine_fusaka,vulnerability,PROP-57888860-inv-032,fork_choice_control/src/mutator.rs::try_spawn_persist_data_columns_task::L486-490,"Cache prunes data columns after only 2 slots (DATA_COLUMN_RETAIN_DURATION_IN_SLOTS=2) instead of the required 131,072 slots (MIN_EPOCHS_FOR_DATA_COLUMN_SIDECARS_REQUESTS=4096 epochs). This 65,536x discrepancy causes premature eviction of data that mu","Peer requests data columns for slot current_slot-100 (valid per MIN_EPOCHS). P2P handler validates request as legitimate, but cache has already pruned entries older than 2 slots. Node fails to serve valid historical data, violating protocol availability requirements.",storage/proxy+delegatecall; consensus+fork/split; P2P/gossip+validation; state+transition/SSZ; cache/index+collision
grandine_fusaka,potential-vulnerability,PROP-6a4369e9-inv-032,p2p/src/network.rs::enr_fork_id::L636-672,"The property holds IF BPO forks are correctly tracked in ForkContext.next_fork() separate from phase transitions. Lines 655 and 661-664 correctly keep next_fork_version=current and set next_fork_epoch from fork_context. However, ForkContext is extern","If ForkContext fails to track BPO forks separately, nodes would advertise next_fork_epoch=FAR_FUTURE_EPOCH in their ENR, causing peer discovery issues and potential network splits when BPO forks activate.",storage/proxy+delegatecall; consensus+fork/split; P2P/gossip+validation
grandine_fusaka,vulnerability,PROP-6a4369e9-inv-009,fork_choice_store/src/store.rs::validate_data_column_sidecar_with_state::L2033-2219,"Missing validation: data column sidecars do not check kzg_commitments.len() <= max_blobs_per_block(epoch). Blob sidecars enforce this at L1838-1846, but the equivalent check is absent from data column validation.","Attacker sends data column sidecar via P2P gossip with kzg_commitments.len() exceeding epoch's max_blobs_per_block (e.g., 100 blobs when limit is 21), causing resource exhaustion during KZG verification and violating consensus protocol blob limits.",consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation; state+transition/SSZ
grandine_fusaka,potential-vulnerability,PROP-6a4369e9-inv-014,types/src/config.rs::Config::validate::L853-866,"Config::validate() only checks config_name, never validates fork epoch ordering. Config::phase_at_epoch() (L920-926) relies on take_while over ordered epochs; misordered epochs cause wrong phase detection. Custom YAML configs can supply any epoch val","Operator loads malicious config YAML with misordered epochs (e.g., electra_fork_epoch < deneb_fork_epoch). Node accepts config after validate(). phase_at_epoch() returns wrong phases, causing phase-specific consensus rules to be misapplied or skipped.",overflow/underflow+arithmetic; consensus+fork/split
grandine_fusaka,vulnerability,PROP-56ad1eb2-inv-029,types/src/config.rs::get_blob_schedule_entry::L1044-1046,"Selector assumes descending order and returns first match via find_map. Named network constructors (sepolia L512-520, holesky L637-645, hoodi L739-747) define blob_schedule in ascending order, bypassing serde sorting. With ascending data, first match","On Sepolia at epoch 280000, selector returns entry (274176, max_blobs=15) instead of correct entry (275712, max_blobs=21). Node rejects valid blocks with 16-21 blobs, causing consensus failure.",consensus+fork/split; KZG/blob+commitment; JWT/auth+bypass
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-010,beacon_node/beacon_chain/src/data_column_verification.rs::verify_data_column_sidecar::L532-561,"Validation exists but is only enforced on gossip path (L480). RPC paths (DataColumnsByRoot/ByRange at lighthouse_network/src/rpc/codec.rs:696,717) and database loads (store/src/hot_cold_store.rs:2529,3252) bypass the guard, allowing mismatched array ","Malicious peer sends RPC response with column.len()≠kzg_commitments.len()≠kzg_proofs.len(). Deserialization succeeds, validation is skipped, KZG verification accesses wrong indices causing out-of-bounds panic or incorrect proof validation.",KZG/blob+commitment; P2P/gossip+validation; state+transition/SSZ; JWT/auth+bypass; memory+safety/bounds; inclusion+proof/merkle
lighthouse_fusaka,vulnerability,PROP-6a4369e9-pre-009,beacon_node/network/src/network_beacon_processor/rpc_methods.rs::handle_data_columns_by_root_request_inner::L408-460,"The request validation only limits the number of identifiers to max_request_blocks_deneb (128) at decode time in codec.rs:562-570, but does not validate the total column count. An attacker can send 128 identifiers each with 128 columns for 16384 tota","Attacker sends DataColumnsByRoot request with 128 identifiers, each containing max columns per identifier. Total columns requested = 128 * number_of_columns() which can exceed 16384. Node processes all columns, consuming excessive memory and CPU for reconstruction/validation, enabling resource exhaustion DoS.",DoS/revert+gas_limit; memory+safety/bounds; inclusion+proof/merkle
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-050,beacon_node/network/src/sync/range_sync/chain.rs::retry_partial_batch::L1102-1107,"NoPeer error from retry_columns_by_range is caught at L1102 but only logged, not propagated. Function returns Ok(KeepChain) at L1107, leaving batch in Downloading state permanently. Batch never transitions to Failed or AwaitingDownload, preventing re","Attacker controls all custody peers for a column or network partitions the node from custody peers. Partial batch retry fails with NoPeer, error is silently swallowed, sync stalls permanently for that batch. Node cannot complete chain sync.",P2P/gossip+validation
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-035,beacon_node/network/src/network_beacon_processor/rpc_methods.rs::handle_blobs_by_root_request_inner::L289-366,"Handler lacks epoch-based deprecation check. After FULU_FORK_EPOCH + MIN_EPOCHS_FOR_BLOB_SIDECARS_REQUESTS, the handler continues processing BlobsByRoot requests normally instead of rejecting them. No validation compares current_epoch against fulu_fo","After deprecation threshold (FULU_FORK_EPOCH + 4096 epochs), any peer sends BlobsByRoot RPC request. Node processes it normally via handle_blobs_by_root_request_inner, responding with blobs if available, violating protocol spec deprecation requirement. Causes protocol non-compliance and resource waste on deprecated endpoints.",consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation; state+transition/SSZ; inclusion+proof/merkle
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-041,beacon_node/beacon_chain/src/data_column_verification.rs::from_execution_verified::L309-310,"The execution layer path (engine_getBlobsV2 → from_execution_verified) skips KZG verification entirely, while gossip path performs verify_cell_kzg_proof_batch. Cached unverified columns then bypass gossip verification (L486-500), violating equivalenc","Malicious EL provides invalid KZG proofs via engine_getBlobsV2. Consensus layer accepts and caches them without verification (from_execution_verified), then propagates them on gossip, bypassing KZG checks for cached columns. Network accepts invalid data availability proofs.",consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation; JWT/auth+bypass; cache/index+collision
lighthouse_fusaka,potential-vulnerability,PROP-56ad1eb2-inv-018,beacon_node/beacon_chain/src/data_column_verification.rs::verify_data_column_sidecar_for_gossip::L688,"Post-Fulu spec requires get_beacon_proposer_index to return proposer_lookahead[slot % SLOTS_PER_EPOCH]. All three gossip verification paths (data_column L688, blob L536, block L991) call get_beacon_proposer_indices instead, which always recomputes fr","If proposer_lookahead and recomputed values diverge due to state inconsistencies in cheap_state_advance partial updates, different nodes may accept/reject the same block based on which code path executes, causing consensus splits.",storage/proxy+delegatecall; consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation; cache/index+collision
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-011,beacon_node/beacon_chain/src/data_column_verification.rs::verify_data_column_sidecar::L538-540,"The empty kzg_commitments check at L538-540 is enforced only in gossip and block publishing paths. RPC-received data columns bypass verify_data_column_sidecar entirely, going directly to KZG verification in data_availability_checker.rs:446, which acc","Attacker sends DataColumnSidecar with empty kzg_commitments via RPC DataColumnsByRange/DataColumnsByRoot request. Bypasses structural validation, passes KZG batch verification (empty list valid), and gets imported into availability cache with semantically invalid state.",KZG/blob+commitment; P2P/gossip+validation; JWT/auth+bypass; cache/index+collision; inclusion+proof/merkle
lighthouse_fusaka,vulnerability,PROP-6a4369e9-post-003,beacon_node/beacon_chain/src/data_column_verification.rs::new_for_block_publishing::L221-250,"Columns from EL (engine_getBlobs) bypass gossip verification via new_for_block_publishing, which skips signature, parent, inclusion proof, and KZG verification, yet are treated as gossip-verified when passed to process_gossip_data_columns. Malicious ","Compromised local EL returns crafted columns via engine_getBlobs with invalid signatures/proofs. These bypass gossip checks via new_for_block_publishing (L221-250), get published to network via publish_column_sidecars, and propagated as valid. Network peers reject them after full verification, causing failed block import and potential slashing.",signature+replay/validation; consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation; JWT/auth+bypass; inclusion+proof/merkle
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-036,beacon_node/http_api/src/publish_blocks.rs::publish_column_sidecars::L522-529,publish_column_sidecars() publishes data columns to all computed subnets without validating against the node's sampling_subnets. The subnet is derived from column index (L525) and published directly (L529) with no check that subnet ∈ network_globals.,"A block producer publishes all 128 data columns. The node publishes to all 128 subnets even though it's only subscribed to ~8 custody subnets, violating the PeerDAS spec and enabling network pollution/DOS through unsubscribed subnet publishing.",DoS/revert+gas_limit; KZG/blob+commitment; P2P/gossip+validation; cache/index+collision
lighthouse_fusaka,vulnerability,PROP-57888860-asm-003,beacon_node/beacon_chain/src/fetch_blobs/mod.rs::build_blob_sidecars::L434-437,Blobs from EL are wrapped with KzgVerifiedBlob::from_execution_verified() which skips KZG proof verification entirely. Same issue in v2 path where blobs_to_data_column_sidecars uses EL-provided proofs without validation before propagation.,"Malicious or compromised EL sends invalid blob-commitment pairs. CL accepts them without verification, propagates to network, causing consensus splits when honest nodes reject invalid blobs.",overflow/underflow+arithmetic; consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-026,beacon_node/network/src/network_beacon_processor/rpc_methods.rs::handle_data_columns_by_root_request_inner::L408-460,"Data columns are added to cache during KZG verification (block_verification.rs:1324-1332) BEFORE state transition validation (per_block_processing at L1614-1629). When blocks fail state transition, their columns remain in cache. RPC handler serves ca",Attacker sends invalid block via RPC; KZG verification caches its data columns before state transition runs; block fails per_block_processing and is rejected; columns remain cached; honest peer requests DataColumnsByRoot and receives columns for the invalid block.,KZG/blob+commitment; P2P/gossip+validation; state+transition/SSZ; cache/index+collision; inclusion+proof/merkle
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-027,consensus/types/src/chain_spec.rs::min_epoch_data_availability_boundary::L828-830,"When blob_retention_epoch > fulu_fork_epoch, line 829 returns current_epoch - MIN_EPOCHS_FOR_DATA_COLUMN_SIDECARS_REQUESTS without enforcing max(result, FULU_FORK_EPOCH). During the window where current_epoch < FULU_FORK_EPOCH + MIN_EPOCHS_FOR_DATA_C","Within 4096 epochs after Fulu fork (when blob_retention_epoch > fulu_fork_epoch but current_epoch - 4096 < fulu_fork_epoch), an attacker can send DataColumnsByRangeRequest for slots before FULU_FORK_EPOCH, requesting data that should not exist (pre-fork). This causes nodes to accept requests for invalid epoch ranges, potentially causing DoS or inconsistent sync state.",DoS/revert+gas_limit; storage/proxy+delegatecall; consensus+fork/split; KZG/blob+commitment
lighthouse_fusaka,vulnerability,PROP-56ad1eb2-inv-014,consensus/types/src/chain_spec.rs::BlobSchedule::new::L1530-1537,"BlobSchedule deserialization and construction lack validation that max_blobs_per_block <= MAX_BLOB_COMMITMENTS_PER_BLOCK (4096). Config entries can specify arbitrary values (e.g., 5000) which are accepted without bounds checking, creating type-safety","Attacker provides ChainSpec config with BLOB_SCHEDULE entry containing max_blobs_per_block=5000. Nodes load config successfully, then accept blocks with 4500 blob commitments (passing runtime check at block_verification.rs:885) but violating SSZ VariableList constraints, causing divergent validation behavior.",consensus+fork/split; KZG/blob+commitment; state+transition/SSZ
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-013,beacon_node/beacon_chain/src/data_availability_checker.rs::put_rpc_custody_columns::L240-267,"RPC-imported columns bypass observed_column_sidecars cache. Gossip path calls observe_gossip_data_column (L521 data_column_verification.rs) which updates the cache, but put_rpc_custody_columns only updates observed_slashable. A proposer can publish c","Attacker proposes block B with data column C1 and publishes C1 via gossip (gets cached in observed_column_sidecars). Attacker then serves conflicting column C2 (same index, different data, same signature) via RPC to specific peers. RPC path imports C2 without checking observed_column_sidecars, allowing two contradictory columns for the same (slot, proposer, index) tuple to coexist across the netwo",signature+replay/validation; storage/proxy+delegatecall; KZG/blob+commitment; P2P/gossip+validation; JWT/auth+bypass; cache/index+collision
lighthouse_fusaka,vulnerability,PROP-6a4369e9-asm-001,beacon_node/beacon_chain/src/data_availability_checker.rs::verify_kzg_for_rpc_blocks::L434-448,"RPC/sync data columns from untrusted P2P peers bypass full validation. Gossip path enforces signature verification, proposer checks, and inclusion proofs (L479-508), but RPC custody columns receive only KZG validation (L446), skipping all cryptograph","Attacker responds to DataColumnsByRange with columns having valid KZG proofs but forged signatures or invalid merkle proofs. Columns pass KZG check (L446), get marked available (L467-475), and could be reconstructed or propagated without detecting the forgery.",signature+replay/validation; KZG/blob+commitment; P2P/gossip+validation; JWT/auth+bypass; inclusion+proof/merkle
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-028,beacon_node/lighthouse_network/src/rpc/protocol.rs::currently_supported::L396-401,"BlobsByRange protocol remains in supported_protocols list forever (conditional only on Deneb fork existence, not epoch). No code rejects requests after FULU_FORK_EPOCH + MIN_EPOCHS. Handler only validates availability boundary for pruning, not deprec","After FULU activation + MIN_EPOCHS, attacker sends BlobsByRange requests to force nodes to serve deprecated blob data instead of data columns, bypassing PeerDAS migration and enabling resource exhaustion via dual serving obligations.",consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation; state+transition/SSZ; JWT/auth+bypass
lighthouse_fusaka,potential-vulnerability,PROP-6a4369e9-pre-005,beacon_node/beacon_chain/src/data_column_verification.rs::new_for_block_publishing::L221-250,"The main gossip path correctly enforces slot > parent.slot at L504 via verify_slot_higher_than_parent. However, new_for_block_publishing (L221-250) bypasses this check, only calling verify_data_column_sidecar (structural checks) and verify_is_unknown","Local block construction bug or external data source provides sidecar with slot <= parent.slot. Call new_for_block_publishing, which accepts it without slot validation. Result is GossipVerifiedDataColumn that propagates invalid data over network, wasting bandwidth and triggering peer penalties.",workflow+router/report; storage/proxy+delegatecall; P2P/gossip+validation; JWT/auth+bypass; cache/index+collision
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-029,beacon_node/network/src/network_beacon_processor/rpc_methods.rs::handle_blobs_by_range_request_inner::L1063-1079,"BlobsByRange serves ALL blobs in requested range without checking fork epoch. After Fulu activation, it continues serving post-Fulu blobs instead of restricting to pre-Fulu (Deneb/Electra) blobs only, violating the fork transition invariant that blob","Peer requests BlobsByRange for slots >= FULU_FORK_EPOCH. Node serves post-Fulu blobs via deprecated RPC method instead of rejecting or filtering, causing protocol confusion and potential consensus divergence with clients that correctly implement the fork transition.",storage/proxy+delegatecall; consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation; state+transition/SSZ
lighthouse_fusaka,potential-vulnerability,PROP-6a4369e9-inv-039,beacon_node/network/src/network_beacon_processor/gossip_methods.rs::process_gossip_data_column_sidecar::L745-765,"IGNORE validation prevents forwarding (correct) but lacks explicit re-processing queue. Messages with FutureSlot/PastFinalizedSlot errors return IGNORE without application-level re-queuing, unlike ParentUnknown which explicitly queues for sync. Proof","Attacker sends data columns just outside clock disparity window. Node returns IGNORE (no forward, correct) but never re-processes when slot becomes valid, causing availability failures if those columns are needed for reconstruction.",storage/proxy+delegatecall; KZG/blob+commitment; P2P/gossip+validation
lighthouse_fusaka,potential-vulnerability,PROP-6a4369e9-inv-030,beacon_node/network/src/network_beacon_processor/rpc_methods.rs::handle_blobs_by_range_request_inner::L1029-1039,"BlobsByRange requests at FULU_FORK_EPOCH can trigger InvalidRequest error (line 1036) when request_start_slot < oldest_blob_slot AND request is outside availability period. InvalidRequest maps to LowToleranceError penalty (peer_manager/mod.rs:588), v","Peer requests blobs from early FULU_FORK_EPOCH slots while those blobs are unavailable (pruned or never stored post-PeerDAS activation). If oldest_blob_slot > request slot but within data_availability_boundary, peer receives LowToleranceError penalty despite making a legitimate transition-period request.",workflow+router/report; storage/proxy+delegatecall; consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation
lighthouse_fusaka,potential-vulnerability,PROP-57888860-inv-028,beacon_node/beacon_chain/src/data_column_verification.rs::verify_data_column_sidecar::L532-561,"Gossip validation checks index bounds (<NUMBER_OF_COLUMNS) but does not verify index matches positional column_index in iteration. An attacker can send sidecars with swapped indices (e.g., index=5 at position 0), passing validation but violating the ","Malicious peer sends DataColumnSidecar with index=N at array position M (N≠M). Gossip verification accepts it (bounds check passes). Downstream KZG operations using cell_ids.push(data_column.index) at line 396 of reconstruct_data_columns will use wrong column indices for cryptographic verification, potentially causing incorrect reconstruction or bypassing data availability guarantees.",KZG/blob+commitment; P2P/gossip+validation; JWT/auth+bypass; cache/index+collision
lighthouse_fusaka,potential-vulnerability,PROP-6a4369e9-inv-008,beacon_node/beacon_chain/src/data_availability_checker.rs::put_rpc_custody_columns::L247-263,"Gossip path validates index range before KZG verification (L480→L535). RPC path performs KZG verification without index validation (L247-249), then silently filters invalid indices (L261). This allows attackers to force expensive KZG operations on in",Malicious peer sends DataColumnsByRoot responses with index >= 128. Node performs costly KZG verification before filtering. Attacker repeats to exhaust CPU resources. No peer penalty applied since validation succeeds but columns are silently dropped.,KZG/blob+commitment; P2P/gossip+validation; cache/index+collision; inclusion+proof/merkle
lighthouse_fusaka,vulnerability,PROP-6a4369e9-inv-009,beacon_node/beacon_chain/src/data_column_verification.rs::verify_data_column_sidecar::L532-561,"Block verification enforces max_blobs_per_block(epoch) runtime check (block_verification.rs:883-886), but data column gossip verification omits this check entirely—only verifying cells==commitments==proofs length consistency, not the epoch-specific u","Attacker crafts data column sidecar with kzg_commitments.len() > max_blobs_per_block for the epoch (e.g., 9 commitments when epoch limit is 6). SSZ VariableList accepts up to MaxBlobCommitmentsPerBlock=4096. The data column passes gossip verification and propagates, causing resource exhaustion or consensus inconsistency when peers process oversized columns that would be rejected during block verif",consensus+fork/split; KZG/blob+commitment; P2P/gossip+validation; state+transition/SSZ
lighthouse_fusaka,potential-vulnerability,PROP-6a4369e9-inv-014,consensus/types/src/chain_spec.rs::apply_to_chain_spec::L2311-2323,"Config deserialization (apply_to_chain_spec) assigns fork epochs without validation. If config file contains out-of-order epochs (e.g., deneb_fork_epoch=100, capella_fork_epoch=200), fork_name_at_epoch() returns wrong fork at epoch 150, causing conse","Operator loads custom config with deneb_fork_epoch < capella_fork_epoch. At intermediate epochs, node applies wrong fork rules (e.g., Deneb logic instead of Capella), diverging from honest peers and potentially accepting invalid blocks.",signature+replay/validation; consensus+fork/split; P2P/gossip+validation; state+transition/SSZ
lodestar_fusaka,vulnerability,PROP-6a4369e9-inv-023,packages/beacon-node/src/network/reqresp/handlers/dataColumnSidecarsByRange.ts::onDataColumnSidecarsByRange::L21-35,"The code yields columns in the order of availableColumns (line 35/83), which preserves the request order via filter (dataColumnResponseValidation.ts:75). No sorting is applied to enforce ascending column_index order as required by the spec.","Malicious peer sends DataColumnSidecarsByRangeRequest with columns=[5,2,8]. Responder yields sidecars in that order within each slot, violating spec-mandated (slot,column_index) ordering and causing interoperability failures with strict clients.",storage/proxy+delegatecall; P2P/gossip+validation; cache/index+collision
